frame,z1,z2,z3,z4,z5,z6
233,0.237966988225713,0.2085576410464842,0.1136310855080077,0.0273820574282231,-0.0155236892645733,0.1591550897794573
234,0.2829817956468267,0.1836393271166169,0.0373370035063178,0.0208764341500761,-0.024444709792962,0.0562333550518649
235,0.283272416076751,0.1446280167452974,0.0540101267346817,0.0749019563107934,0.049914062779186,0.1482317394429024
236,0.3195267891919801,0.2160104410281764,0.1066445507292056,0.1001892521772882,0.0269896536627218,0.0849739339179233
237,0.3048064666234351,0.253047657783745,0.1636875522512106,0.0298191325058441,0.0707090362752982,0.1514260054269357
238,0.366137169995342,0.2733142053965856,0.1711569517386383,-0.0270828851783663,0.0486528871873446,0.1419148350691655
239,0.304874582279751,0.2108941849243444,0.1360760504169907,-0.1168369231833117,-0.0613416353740211,0.1124117668418062
240,0.2850395833037973,0.1936637990205616,0.0940043679746476,-0.14487317785341,-0.0686544685934021,-0.003990698348888
241,0.2282042398001182,0.2696493363674868,0.1234870540594586,-0.1623583403479908,-0.0875932704549963,0.0160683500766022
242,0.1936880628917355,0.1893533001624546,0.1981062074637919,-0.0645762038828429,-0.0328223521339558,0.0128407681248862
243,0.1173677201349536,0.1848749923148891,-0.0299407053099523,-0.1280388487770139,-0.1880085118665466,0.0339907377262919
244,0.236821599265366,0.1483433450287719,0.0588500256577748,-0.0801758188836114,-0.0523230540805091,0.0863465643604069
245,0.256349386668849,0.2312364133975426,0.0562038692678551,-0.0305407278076596,-0.0052644488315508,0.0528758454309608
246,0.2962267701329031,0.2063760355350078,0.0639992651951107,0.0028869380478053,-0.0424364492394449,0.0531309308608052
247,0.2505588169259205,0.1650793223075793,0.0180082575513658,0.1521054589568886,0.0418665769279031,0.1316430000600874
248,0.2965463854031903,0.2043041388161663,0.0957809106117214,0.1779466335394077,0.0626376140998547,0.2339352020176884
249,0.1871387504312456,0.2012281643020807,0.0889167699631686,0.1546446158232213,0.0247138956888351,0.1824184846040975
250,0.2266072628730396,0.1951701088890909,0.1325969280852029,0.0688542495618243,0.083756410199306,0.076452358635003
251,0.1621762739878927,0.1360529173475251,0.0909637174125958,0.0751243414748171,0.0428108647852098,0.1181224048013467
252,0.1629457184657476,0.1706472821219044,0.0816732082299151,0.0349858321630293,0.0612408273304154,0.1187229349475778
253,0.0701156575764147,0.0028736466115689,-0.0854632826085158,0.0019511307485002,-0.0161979213336856,-0.0279864214881756
254,0.0484948918776466,0.0232878467927203,-0.1057233289118189,-0.0417193546223342,0.008149133674964,0.136550289241029
255,0.0673639360674232,0.0606342236858291,0.0622829664526233,-0.0416703877184723,-0.006831894304917,0.084144619087268
256,0.0468715106727647,0.0166255438293525,-0.0374506138102193,0.0205697622696046,0.0087474409783304,0.06337146273564
257,0.1855682129051993,0.173742501538677,0.0136203899610262,-0.1169091044870182,-0.1097280441673187,-0.0298710146007759
258,0.1240705992010144,0.0872998510511489,0.1254247018069395,-0.0524189501584735,0.0316132342963144,0.0017368667317815
259,0.2372499586193842,0.2011413927852852,0.10060646372379,-0.1146327542648929,0.0316108572351553,0.027299780607643
260,0.2391656425934623,0.2418793921360293,0.0360224851809722,-0.1481976892166596,-0.1209489297189002,0.059614708146882
261,0.1791902805484088,0.0781509626251077,0.1592181051242885,-0.1029860592064688,-0.1396915159182616,-0.0210282313522663
262,0.2026081558377578,0.1446626275341644,0.0775317071183789,-0.0428472465152628,0.0333371187705896,0.1179961520616032
263,0.2627732212824382,0.1967945022498616,0.1150230866827518,-0.0567346901487705,-0.0597922448391649,0.1464497431664547
264,0.2433896391925103,0.1846025363644469,0.0281958779207636,0.0307944454272657,0.0084826307954763,0.0870767405305794
265,0.3173693123080852,0.2015493618313116,0.0979320659183748,0.0207032096646621,-0.0406804263878236,0.1898097330059908
